Feature ID	Taxon	Confidence
71832de33e8472eb96b673875f7a10ca	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__	0.9999405732247624
efbe1f58b1e2984ddc53a64f047d94ff	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9768847834731488
f8c246ec3eebe032d255019ea80f8306	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae	0.7078450350422217
6376ea6dab7d0fde3cd66f53b57e1484	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.9336187612113909
04ecfad5772d2e09a84a0f5ef460536c	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae	0.8642024094661986
5190702d62239016fb3ccace4e1407f2	k__Bacteria	0.9127387759662497
7911816f5e81f650f769aba0d5c708cb	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__	0.9997104686879704
5648dccee530d68ceb3e4d7d22cf8756	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.9830227894635564
4ac72f3888972fbf77a0206d53edfd6f	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.9942466000486816
ec9562edcf3986f9a56ee377d8ff737c	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__	0.9997699337081662
405e1b9f3c4b98e00fdd7ce56e491f93	k__Bacteria	0.9066221203434403
73abb74da1e1e3662516770c6ad64b6c	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Chlorophyta; f__Trebouxiophyceae; g__; s__	0.9327043665792909
50fd1c9614c2cdbad76a0cee521fb46b	k__Bacteria; p__Firmicutes; c__Bacilli	0.9987020927806325
17576c1747872688cad64c3e51e8c962	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Arcanobacterium; s__	0.7441719290860167
b4289ab0a9a00034c1fbce477b2c4ded	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.9770091249083767
84b9709af2ea0441821f027fa0f6a4aa	k__Bacteria	0.967916671100786
9ac3bb1d7dedb08a012692a6f536b5af	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__	0.9999526788961985
5aebc79337d84b1b9082b89d107b2692	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseococcus; s__	0.9784101857658823
91d225db96fb5d13a41c2a981eae5f8a	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__	0.9850454026125576
de4c8f59c9c37b7b6e73149398d53aea	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	0.8952896697499102
0b36c352632cb1346cdc7d73f9fb376c	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.986857728552146
2a39f0b75d31d00b3136b2edbe82962e	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Saccharomonospora; s__	0.9226331772886539
9477d45e83a2f8d1f61fd3cb9db73a0f	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__; s__	0.9439601685905125
fa8aa0b6b1e2a962a62219d3da9ea8c9	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.9531357351784948
e98465c4c0b9ee88ab0cb46f5ee40523	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae	0.7423432251588085
5ec072083231e717e3fec4f867d99fc5	k__Bacteria	0.96787231285832
f1b5950264bdaa3d7c95febe8a4df3c7	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__	0.7354682083211134
8553bd0dbb73c5fa6fe8f4481fa62bbb	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae	0.8471597013234755
43fddf1528d4a98928fd8c3a8ac23bfd	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia; s__coli	0.8094513334081291
ca6c2b3b469c08212142e8821c65882a	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9688927973405267
98cea5793fe96443ce3fd0bee61c8257	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MKC10; f__; g__; s__	0.9885075393610944
6bfc95fddb644b860815e396f5b42185	k__Bacteria	0.9649919372529374
922d33a2963d3e87a3d4df6b82371235	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__cereus	0.9157625504040704
5afec052157f7768bf459883f118a638	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__	0.999773329234322
dd070aa4a7da33679f1038d652140369	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	0.796948040900255
